+1:0.4632,0.1110,0.8995,0.3921,0.8692
-1:0.3557,0.9959,0.4106,0.7229,0.0032
+1:0.1606,0.1040,0.5561,0.7953,0.9185
-1:0.8591,0.3168,0.3792,0.3286,0.0850
+1:0.3772,0.1671,0.7667,0.7948,0.5595
-1:0.2178,0.5193,0.4788,0.0448,0.1545
+1:0.7440,0.9119,0.5853,0.4454,0.3258
-1:0.6128,0.7634,0.5062,0.5816,0.8089
+1:0.5412,0.8657,0.1668,0.4398,0.3966
-1:0.1861,0.0229,0.3185,0.4724,0.5393
+1:0.7997,0.7272,0.5293,0.6236,0.5473
-1:0.7230,0.8563,0.4968,0.6623,0.5034
+1:0.0413,0.4284,0.4851,0.8713,0.8095
-1:0.2493,0.0283,0.5123,0.2253,0.3569
+1:0.6752,0.8889,0.3724,0.1032,0.9652
-1:0.9060,0.3760,0.9896,0.0967,0.4256
+1:0.4076,0.5689,0.9270,0.4273,0.9862
-1:0.8512,0.0729,0.8996,0.8109,0.7007
+1:0.1348,0.7770,0.7965,0.7962,0.7805
-1:0.7869,0.8083,0.8145,0.6306,0.4934
+1:0.6427,0.2143,0.9153,0.5884,0.8505
-1:0.0609,0.0148,0.7735,0.7009,0.3988
+1:0.9311,0.6023,0.3711,0.7305,0.2245
-1:0.7291,0.1271,0.5076,0.0345,0.0707
+1:0.1682,0.1139,0.1409,0.7906,0.8332
-1:0.0233,0.7553,0.9307,0.6177,0.5386
+1:0.8148,0.5257,0.0129,0.7409,0.0232
-1:0.0142,0.1981,0.2390,0.9476,0.5608
+1:0.3787,0.1233,0.6629,0.4120,0.2045
-1:0.3270,0.4763,0.1467,0.4074,0.4983
+1:0.9625,0.9541,0.1127,0.2807,0.0575
-1:0.6430,0.7330,0.7713,0.3362,0.0670
+1:0.6099,0.1603,0.2749,0.7269,0.3940
-1:0.7279,0.1927,0.6743,0.5706,0.0703
+1:0.6106,0.0915,0.2873,0.8820,0.1900
-1:0.2493,0.5782,0.9813,0.4675,0.1377
+1:0.8966,0.1479,0.6957,0.0461,0.3578
-1:0.1243,0.1334,0.9379,0.3788,0.7047
+1:0.7102,0.2866,0.6715,0.2826,0.3694
-1:0.1283,0.6306,0.4293,0.2788,0.4233
+1:0.2483,0.4337,0.7655,0.7862,0.9039
-1:0.1595,0.0689,0.6092,0.9643,0.9595
+1:0.8929,0.6435,0.5502,0.2726,0.0943
-1:0.0294,0.0508,0.0752,0.1304,0.9767
+1:0.4855,0.8578,0.1479,0.0038,0.3546
-1:0.7528,0.4513,0.3315,0.8790,0.6472
+1:0.8187,0.1857,0.2525,0.2687,0.0646
-1:0.9746,0.9795,0.5875,0.0149,0.8510
+1:0.2894,0.5140,0.6261,0.4025,0.7096
-1:0.8551,0.3416,0.6188,0.8382,0.8003
+1:0.1069,0.9176,0.7546,0.1839,0.0370
-1:0.8137,0.0570,0.5921,0.4637,0.4226
+1:0.4984,0.3265,0.0336,0.7665,0.3963
-1:0.9928,0.9848,0.1911,0.2409,0.3369
+1:0.2725,0.6751,0.9870,0.4876,0.9641
-1:0.2123,0.1799,0.1030,0.1564,0.9749
+1:0.9721,0.8637,0.2277,0.4448,0.0999
-1:0.7277,0.4055,0.4170,0.7024,0.6414
+1:0.8258,0.8491,0.0526,0.7318,0.5829
-1:0.5148,0.1286,0.2489,0.9852,0.8996
+1:0.9550,0.2399,0.1028,0.0889,0.1139
-1:0.6731,0.1170,0.4400,0.5863,0.3231
+1:0.4689,0.9267,0.6753,0.2214,0.2433
-1:0.0506,0.4915,0.6154,0.9937,0.1233
+1:0.3804,0.9949,0.6005,0.9425,0.8352
-1:0.7360,0.6368,0.1838,0.7284,0.9539
+1:0.6079,0.7696,0.1898,0.2519,0.4838
-1:0.6075,0.0125,0.4389,0.8066,0.9108
+1:0.7275,0.2320,0.7458,0.9683,0.5086
-1:0.9920,0.3679,0.0645,0.4401,0.2478
+1:0.5811,0.4728,0.2997,0.1800,0.7885
-1:0.2589,0.7960,0.7130,0.9649,0.6782
+1:0.2660,0.5439,0.7476,0.0957,0.5233
-1:0.0124,0.5721,0.5906,0.3377,0.2988
+1:0.5119,0.8787,0.4776,0.3166,0.4405
-1:0.0496,0.6529,0.4563,0.5326,0.4917
+1:0.0498,0.8878,0.1027,0.1278,0.5733
-1:0.6867,0.8084,0.7727,0.5798,0.5098
+1:0.9036,0.3814,0.3132,0.1759,0.0463
-1:0.1099,0.3621,0.2077,0.4326,0.9618
+1:0.1649,0.3040,0.2065,0.4500,0.6347
-1:0.8541,0.7068,0.8688,0.3544,0.2848
+1:0.4135,0.7931,0.6542,0.8964,0.6588
-1:0.0716,0.3885,0.1175,0.9922,0.6812
+1:0.2537,0.9965,0.7177,0.6284,0.1198
-1:0.4596,0.3323,0.8531,0.2188,0.4852
+1:0.0754,0.9538,0.3224,0.4322,0.3405
-1:0.0681,0.5900,0.7336,0.0753,0.9646
+1:0.6266,0.1303,0.4755,0.8129,0.8439
-1:0.5073,0.0441,0.9993,0.2725,0.4410
+1:0.3960,0.2389,0.8375,0.6617,0.6638
-1:0.7374,0.1376,0.5810,0.8943,0.0786
+1:0.5610,0.0782,0.5574,0.0703,0.8738
-1:0.3384,0.8479,0.6110,0.8047,0.1230
+1:0.5173,0.3184,0.2104,0.3660,0.3413
-1:0.1170,0.9751,0.4985,0.2654,0.0594
+1:0.2666,0.2205,0.7847,0.3737,0.0822
-1:0.5642,0.2179,0.5652,0.3305,0.8219
+1:0.3791,0.0085,0.0473,0.3279,0.7568
-1:0.9050,0.3207,0.2852,0.7704,0.9444
+1:0.7421,0.4166,0.1590,0.5892,0.7891
-1:0.0677,0.1899,0.1687,0.6433,0.6889
+1:0.1815,0.7370,0.9657,0.2759,0.7067
-1:0.0877,0.1463,0.0922,0.5642,0.1432
+1:0.6360,0.9416,0.6745,0.4835,0.7345
-1:0.6968,0.0803,0.0350,0.4206,0.8972
+1:0.4077,0.8080,0.0220,0.0582,0.2102
-1:0.4882,0.3199,0.0986,0.7427,0.2159
+1:0.9468,0.7144,0.2520,0.8542,0.5208
-1:0.6583,0.2067,0.3501,0.7959,0.3330
+1:0.9144,0.1839,0.4568,0.2748,0.2937
-1:0.2775,0.2958,0.5213,0.9602,0.5771
+1:0.0762,0.6815,0.2776,0.9628,0.4241
-1:0.2025,0.6993,0.4835,0.4548,0.5482
+1:0.3408,0.5960,0.3142,0.2218,0.6819
-1:0.0403,0.4984,0.0310,0.7803,0.7211
+1:0.0590,0.2760,0.7756,0.5244,0.3573
-1:0.7629,0.2666,0.8509,0.6608,0.6810
+1:0.0433,0.5283,0.1751,0.5903,0.3940
-1:0.6015,0.7617,0.7202,0.2769,0.9878
+1:0.5587,0.8267,0.5459,0.2170,0.7288
-1:0.1167,0.9690,0.5357,0.8279,0.4345
+1:0.8773,0.6124,0.5887,0.9576,0.9055
-1:0.8300,0.6917,0.5892,0.7979,0.6856
+1:0.0798,0.7193,0.2955,0.0091,0.8701
-1:0.7406,0.6491,0.2067,0.6616,0.4115
+1:0.1728,0.5109,0.7398,0.1127,0.6057
-1:0.1348,0.5872,0.8158,0.4279,0.6646
+1:0.6885,0.4908,0.8784,0.0284,0.6030
-1:0.6728,0.6633,0.5338,0.1149,0.9772
+1:0.1708,0.3728,0.9037,0.7413,0.2967
-1:0.3742,0.7297,0.6800,0.5370,0.4154
+1:0.9297,0.8887,0.6896,0.2793,0.6898
-1:0.7773,0.1627,0.7684,0.1404,0.2603
+1:0.5776,0.0331,0.8968,0.2020,0.5933
-1:0.6890,0.0520,0.7912,0.3391,0.9065
+1:0.0340,0.7096,0.2877,0.0958,0.8815
-1:0.3481,0.4622,0.7229,0.7503,0.6876
+1:0.1897,0.7791,0.5938,0.6526,0.3770
-1:0.7917,0.3880,0.4012,0.2040,0.5283
+1:0.0727,0.1703,0.5042,0.3326,0.4715
-1:0.6559,0.8024,0.2228,0.3151,0.4719
+1:0.4701,0.0738,0.2319,0.7597,0.8771
-1:0.8694,0.5650,0.6018,0.6008,0.6304
+1:0.5547,0.0646,0.7857,0.6107,0.0377
-1:0.5064,0.4334,0.0827,0.8096,0.8676
+1:0.7001,0.3642,0.8263,0.2972,0.5068
-1:0.0797,0.9124,0.6323,0.0723,0.2377
+1:0.4979,0.4363,0.7405,0.1272,0.6711
-1:0.4549,0.3080,0.0032,0.5723,0.6711
+1:0.6486,0.8590,0.3321,0.5076,0.2454
-1:0.5352,0.5893,0.2670,0.7643,0.1989
+1:0.4021,0.8653,0.9789,0.7138,0.9231
-1:0.0083,0.4062,0.0504,0.8889,0.9908
+1:0.1067,0.0801,0.8293,0.0867,0.7186
-1:0.1223,0.0579,0.8559,0.0859,0.5305
+1:0.8861,0.8634,0.4354,0.3194,0.9527
-1:0.6829,0.2314,0.7437,0.2472,0.7492
+1:0.2051,0.2682,0.6387,0.8918,0.4209
-1:0.3367,0.4426,0.6895,0.0354,0.4893
+1:0.8951,0.1012,0.5000,0.1609,0.8518
-1:0.9418,0.3622,0.3716,0.1635,0.7408
+1:0.8619,0.1705,0.5731,0.2619,0.9415
-1:0.1229,0.9780,0.8918,0.1940,0.7395
+1:0.9169,0.3364,0.2757,0.6047,0.4348
-1:0.2667,0.2655,0.4833,0.4249,0.9600
+1:0.6865,0.8748,0.8761,0.4100,0.2691
-1:0.8551,0.7740,0.2788,0.1133,0.0547
+1:0.0624,0.1728,0.0595,0.6077,0.0505
-1:0.5458,0.4521,0.9761,0.0829,0.8820
+1:0.7385,0.3862,0.6236,0.2569,0.8398
-1:0.6323,0.8164,0.4507,0.9466,0.8816
+1:0.3149,0.0854,0.0108,0.6922,0.7452
-1:0.5020,0.0104,0.3541,0.6584,0.3717
+1:0.4076,0.4529,0.8701,0.7897,0.6029
-1:0.3831,0.4572,0.5294,0.5557,0.3482
+1:0.9744,0.2679,0.4497,0.3066,0.4882
-1:0.4465,0.6238,0.0783,0.6213,0.5220
+1:0.2405,0.6467,0.5272,0.7655,0.6165
-1:0.4938,0.3078,0.1762,0.0048,0.3839
+1:0.1592,0.2953,0.7339,0.0165,0.4536
-1:0.6197,0.6336,0.4532,0.0224,0.4673
+1:0.8109,0.7001,0.1812,0.4627,0.7934
-1:0.9758,0.8792,0.5921,0.2847,0.4765
+1:0.3710,0.7477,0.4097,0.8424,0.0763
-1:0.9948,0.0624,0.8517,0.8158,0.8794
+1:0.8742,0.1559,0.0759,0.1372,0.3126
-1:0.0751,0.0679,0.1942,0.9483,0.7133
+1:0.2186,0.7601,0.8915,0.9112,0.5214
-1:0.0569,0.0178,0.8097,0.0538,0.3650
+1:0.1612,0.5255,0.3201,0.3191,0.3956
-1:0.9478,0.2804,0.1311,0.4465,0.5133
+1:0.1555,0.3052,0.7385,0.5505,0.4985
-1:0.0242,0.6182,0.2657,0.0058,0.0635
+1:0.8667,0.6102,0.2672,0.6945,0.2803
-1:0.2541,0.4999,0.6098,0.3693,0.0098
+1:0.1991,0.6828,0.5069,0.2611,0.5886
-1:0.8979,0.5852,0.1054,0.2684,0.1615
+1:0.9685,0.9421,0.3606,0.1623,0.6476
-1:0.3492,0.1827,0.1971,0.6461,0.7472
+1:0.0689,0.0727,0.3423,0.9360,0.1169
-1:0.2242,0.8327,0.5518,0.1000,0.3273
+1:0.9085,0.3573,0.4369,0.5854,0.6585
-1:0.4196,0.8801,0.0464,0.4629,0.9412
+1:0.5037,0.6394,0.1803,0.5463,0.5337
-1:0.9405,0.8287,0.3343,0.1096,0.0470
+1:0.2074,0.9500,0.6783,0.7872,0.2501
-1:0.3324,0.1106,0.5803,0.4690,0.6810
+1:0.1543,0.2237,0.9279,0.3061,0.7529
-1:0.3895,0.5962,0.7588,0.9415,0.0770
+1:0.6557,0.9575,0.9343,0.4016,0.4643
-1:0.9108,0.3137,0.6491,0.3790,0.0371
+1:0.5873,0.4970,0.4907,0.9442,0.4629
-1:0.4867,0.8121,0.3409,0.5699,0.0624
+1:0.6883,0.0834,0.3595,0.3091,0.7021
-1:0.5018,0.3063,0.7894,0.9149,0.5144
+1:0.5991,0.8975,0.9956,0.4262,0.3131
-1:0.5800,0.9124,0.4165,0.9525,0.6500
+1:0.4457,0.3449,0.6722,0.0703,0.7320
-1:0.9838,0.6997,0.6716,0.9618,0.6827
+1:0.5143,0.6137,0.5038,0.2048,0.2011
-1:0.3318,0.7616,0.8004,0.4908,0.9224
+1:0.8150,0.7663,0.6969,0.8402,0.0769
-1:0.0087,0.8393,0.8655,0.8650,0.4082
+1:0.7734,0.7623,0.1539,0.5690,0.8880
-1:0.1229,0.0254,0.0046,0.5113,0.5536
+1:0.0610,0.4140,0.5168,0.4717,0.8009
-1:0.5560,0.7150,0.4569,0.7814,0.6030
+1:0.8905,0.1451,0.2191,0.6122,0.4465
-1:0.8311,0.9884,0.4480,0.0142,0.9910
+1:0.4029,0.2084,0.5270,0.1221,0.1785
-1:0.1025,0.3491,0.7160,0.3068,0.9387
+1:0.4257,0.3427,0.3433,0.9962,0.6291
-1:0.7425,0.9859,0.0780,0.9173,0.9814
+1:0.8679,0.6617,0.1785,0.1171,0.0584
-1:0.4538,0.1504,0.8373,0.8194,0.3052
+1:0.9576,0.5824,0.3632,0.0837,0.9062
-1:0.0361,0.4063,0.9756,0.1733,0.0119
+1:0.6251,0.3620,0.1283,0.7019,0.5555
-1:0.0997,0.6335,0.3449,0.1595,0.4394
+1:0.2924,0.6127,0.8367,0.5075,0.2595
-1:0.7659,0.4896,0.0883,0.7262,0.3031
+1:0.2094,0.0162,0.6200,0.4053,0.4580
-1:0.4706,0.3321,0.0536,0.0419,0.4420
+1:0.3332,0.9182,0.6649,0.9953,0.5903
-1:0.7647,0.7522,0.6546,0.3240,0.9638
+1:0.8429,0.8458,0.3229,0.5328,0.7428
-1:0.4120,0.2882,0.4545,0.9119,0.3747
+1:0.6109,0.3099,0.9478,0.1363,0.1060
-1:0.4750,0.0514,0.9675,0.5144,0.8113
+1:0.5958,0.1445,0.3107,0.9694,0.4002
-1:0.3952,0.0936,0.7630,0.2751,0.4535
+1:0.9506,0.0922,0.9749,0.6572,0.5955
-1:0.4341,0.3800,0.2134,0.7864,0.8391
+1:0.1988,0.8964,0.2725,0.5156,0.7845
-1:0.8388,0.7304,0.7350,0.0486,0.7007
+1:0.4292,0.1587,0.5439,0.2775,0.3212
